Field Identifier,Category,Sub-Category,Field Name,Tooltip - upload page,Tooltip - view page (if different from upload page),Component,Options,Unit,Document-Support,Dependency,Show when value is,Mandatory Field
1,General,Master Data,Data Date,The date until when the information collected is valid,,Date,,,,,,Yes
2,General,Master Data,Head Office in Germany,"Is your head office, administrative headquarters, registered office, or subsidiary located in Germany?",,Yes/No,,,,,,
3,General,Master Data,Group of Companies,Do you belong to a group of companies?,,Yes/No,,,,,,
4,General,Master Data,Group of Companies Name,"If yes, name of company group",,String,,,,3,Yes,
5,General,Master Data,Industry,In which industry is your company primarily active (select all that apply)?,,NACE codes,,,,,,
6,General,Master Data,Number of Employees,Total number of employees (including temporary workers with assignment duration >6 months),,Number,"Allowed Range: [0, INF]",,Simple,,,
7,General,Master Data,Seasonal or Migrant Workers,Do your company employ seasonal or migrant workers?,,Yes/No,,,,,,
8,General,Master Data,Share of Temporary Workers,What share of the total number of employees in your company is made up by temporary workers?,,Single-Select Radio Button,Smaller10 |Between10And25 | Between25And50 | Greater50,,,7,Yes,
9,General,Master Data,Annual Total Revenue,Total revenue per annum,,AmountWithCurrencyComponent,,,,,,
10,General,Master Data,Fixed and Working Capital,Combined fixed and working capital (only for own operations) in same currency than total revenue,,AmountWithCurrencyComponent,,,,,,
11,General,Production-specific,Manufacturing Company,Is your company a manufacturing company?,,Yes/No,,,,,,
12,General,Production-specific,Capacity,"Production capacity per year, e.g. quantity with units.",,String,,,,11,Yes,
13,General,Production-specific,Production via Subcontracting,Is the production done via subcontracting?,,Yes/No,,,,11,Yes,
14,General,Production-specific,Subcontracting Companies Countries,In which countries do the subcontracting companies operate?,,LkSG Subcontracting Companies,,,,13,Yes,
15,General,Production-specific,Production Sites,Do you have production sites in your company?,,Yes/No,,,,11,Yes,
16,General,Production-specific,Number of Production Sites,How many production sites are there?,,Number,,,,15,Yes,
17,General,Production-specific,List Of Production Sites,Please list the production sites in your company.,,LkSG Production Sites,,,,15,Yes,
18,General,Production-specific,Market,Does your business focus predominantly on national or international markets?,,Single-Select Radio Button,National | International | Both,,,11,Yes,
19,General,Production-specific,Specific Procurement,Does your company have one of the specific procurement models?,,Multi-Select Dropdown,Short-lived and changing business relationships | High price pressure | Tightly timed or short-term adjusted delivery deadlines and conditions with suppliers | None of the above,,,11,Yes,
20,General,Production-specific - Own Operations,Most Important Products,"Please give an overview of the most important products or services in terms of sales that your company manufactures, distributes and/or offers (own operations)",,LkSG Most Important Products,,,,11,Yes,
21,General,Production-specific - Own Operations,Procurement Categories,"Name their procurement categories (products, raw materials, services) (own operations)",,LkSG Procurement Categories,,,,11,Yes,
22,Governance,Risk management - Own Operations,Risk Management System,Does your company have an adequate and effective Risk Management system?,,Yes/No,,,Simple,,,
23,Governance,Risk management - Own Operations,Risk Analysis in Fiscal Year,Did you perform a risk analysis as part of risk management this fiscal year?,,Yes/No,,,,22,Yes,
24,Governance,Risk management - Own Operations,Risks Identified,Were risks identified during this period?,,Yes/No,,,,23,Yes,
25,Governance,Risk management - Own Operations,Identified Risks,Which risks were specifically identified in the risk analysis?,,Multi-Select Dropdown,LkSG - risk Positions,,,24,Yes,
26,Governance,Risk management - Own Operations,Counteracting Measures,Have measures been defined to counteract the risks?,,Yes/No,,,,24,Yes,
27,Governance,Risk management - Own Operations,Which Counteracting Measures,Which measures have been applied to counteract the risks?,,String,,,,26,Yes,
28,Governance,Risk management - Own Operations,Regulated Risk Management Responsibility,"Is the responsibility for Risk Management in your company regulated, for example by appointing a human rights officer?",,Yes/No,,,,22,Yes,
29,Governance,Grievance mechanism - Own Operations,Grievance Handling Mechanism,Has your company implemented a grievance handling mechanism (e.g. anonymous whistleblowing system) to protect human and environmental rights in your business?,,Yes/No,,,Simple,,,
30,Governance,Grievance mechanism - Own Operations,Grievance Handling Reporting Accessible,"Can all affected stakeholders and rights holders, i.e. both internal (e.g. employees) and external stakeholders (e.g. suppliers and their employees, NGOs) access the grievance reporting/whistleblowing system?",,Yes/No,,,,29,Yes,
31,Governance,Grievance mechanism - Own Operations,Appropriate Grievance Handling Information,Is the grievance procedure adapted to your company context and articulated in a way that is understandable to the target groups?,,Yes/No,,,,29,Yes,
32,Governance,Grievance mechanism - Own Operations,Appropriate Grievance Handling Support,Is the necessary support provided in a way that the target groups can actually use the procedure?,,Yes/No,,,,29,Yes,
33,Governance,Grievance mechanism - Own Operations,Access to Expertise for Grievance Handling,"Do the target groups have access to the expertise, advice and information that they need to participate in the grievance procedure in a fair, informed and respectful manner?",,Yes/No,,,,29,Yes,
34,Governance,Grievance mechanism - Own Operations,Grievance Complaints,Have there been any complaints being entered into the system?,,Yes/No,,,,29,Yes,
35,Governance,Grievance mechanism - Own Operations,Complaints Number,How many complaints have been received (for the reported fiscal year)?,,Number,"Allowed Range: [0, INF]",,Simple,34,Yes,
36,Governance,Grievance mechanism - Own Operations,Complaints Risk Position,Please define the respective risk position of each complaint,,Multi-Select Dropdown,LkSG - risk Positions,,,34,Yes,
37,Governance,Grievance mechanism - Own Operations,Complaints Reason,Please specify the complaint.,,String,,,,34,Yes,
38,Governance,Grievance mechanism - Own Operations,Actions for Complaints Undertaken,Were measures taken to address the complaints?,,Yes/No,,,,34,Yes,
39,Governance,Grievance mechanism - Own Operations,Which Actions for Complaints Undertaken,Which measures were taken to address the reported complaints?,,String,,,,38,Yes,
40,Governance,Grievance mechanism - Own Operations,Public Access to Grievance Handling,Does your company have publicly accessible rules that clearly describe the process for dealing with complaints?,,Yes/No,,,,29,Yes,
41,Governance,Grievance mechanism - Own Operations,Whistleblower Protection,Are whistleblowers effectively protected from disadvantage or punishment?,,Yes/No,,,,29,Yes,
42,Governance,Grievance mechanism - Own Operations,Due Diligence Process for Grievance Handling,Are insights from reported complaints used to improve your due diligence process?,,Yes/No,,,,29,Yes,
43,Governance,"Certifications, policies and responsibilities",Additional Certifications,"Does your company hold further certification / verfication / best practices etc. that mitigate human rights and/or environmental risks? If yes, please share the documents with us",,Yes/No,,,Simple,,,
44,Governance,"Certifications, policies and responsibilities",Code of Conduct,"Has your company implemented and enforced internal behavioral guidelines that address the issues of human rights protection and respect for the environment  (e.g. within the code of conduct)?  If yes, please share the relevant document with us.",,Yes/No,,,Simple,,,
45,Governance,"Certifications, policies and responsibilities",Code of Conduct Training,Are your employees regularly made aware of your internal rules of conduct and trained on them?,,Yes/No,,,,44,Yes,
46,Governance,"Certifications, policies and responsibilities",Supplier Code of Conduct,"Does your company have a supplier code of conduct? If yes, please share the supplier code of conduct with us.",,Yes/No,,,Simple,,,
47,Governance,"Certifications, policies and responsibilities",Policy Statement,"Does your company have a policy statement on its human rights strategy? If yes, please share the policy with us.",,Yes/No,,,Simple,,,
48,Governance,"Certifications, policies and responsibilities",Human Rights Strategy,In which relevant departments/business processes has the anchoring of the human rights strategy been ensured?,,String,,,,47,Yes,
49,Governance,"Certifications, policies and responsibilities",Environmental Impact Policy,"Does your company have an environmental impact policy? If yes, please share the policy with us.",,Yes/No,,,Simple,,,
50,Governance,"Certifications, policies and responsibilities",Fair Working Conditions Policy,"Does your company have a fair working conditions policy? If yes, please share the policy with us.",,Yes/No,,,Simple,,,
51,Governance,General violations,Responsibilities for Fair Working Conditions,"Has your company established official responsibilities for the topic of fair working conditions, according to the nature and extent of the enterprise’s business activities?",,Yes/No,,,,,,
52,Governance,General violations,Responsibilities for the Environment,"Has your company established official responsibilities for the topic of the environment, according to the nature and extent of the enterprise’s business activities?",,Yes/No,,,,,,
53,Governance,General violations,Responsibilities for Occupational Safety,"Has your company established official responsibilities for the topic of occupational safety, according to the nature and extent of the enterprise’s business activities?",,Yes/No,,,,,,
54,Governance,General violations,Legal Proceedings,Has your company been involved in legal disputes in the last 5 years (including currently ongoing disputes) with third parties regarding human rights and environmental violations?,,Yes/No,,,,,,
55,Governance,General violations,Human Rights or Environmental Violations,Have there been any human rights or environmental violations on your company’s part in the last 5 years?,,Yes/No,,,,,,
56,Governance,General violations,Human Rights or Environmental Violations Definition,Please define those violations.,,Multi-Select Dropdown,LkSG - risk Positions,,,55,Yes,
57,Governance,General violations,Human Rights or Environmental Violations Measures,Have measures been taken to address this violation?,,Yes/No,,,,55,Yes,
58,Governance,General violations,Human Rights or Environmental Violations Measures Definition,Please define these measures.,,String,,,,57,Yes,
59,Governance,General violations,High Risk Countries Raw Materials,Do you source materials from countries associated with high-risk or conflict?,,Yes/No,,,,,,
60,Governance,General violations,High Risk Countries Raw Materials Location,From which conflict/high-risk regions do you source your raw materials?,,ISO2 Codes Multi-Select Dropdown,,,,59,Yes,
61,Governance,General violations,High Risk Countries Activity,Does your company operate in countries where there are high risks for human rights and/or the environment?,,Yes/No,,,,,,
62,Governance,General violations,High Risk Countries,Which ones?,,ISO2 Codes Multi-Select Dropdown,,,,61,Yes,
63,Governance,General violations,High Risk Countries Procurement,Does your company procure from countries with high risks for human rights and/or the environment?,,Yes/No,,,,,,
64,Governance,General violations,High Risk Countries Procurement Name,Which ones?,,ISO2 Codes Multi-Select Dropdown,,,,63,Yes,
65,Social,Child labor,Employee(s) Under 18,Does your company have employees under the age of 18?,,Yes/No,,,,,,
66,Social,Child labor,Employee(s) Under 15,With regard to the place of employment and the applicable laws: do you employ school-age children or children under the age of 15 on a full-time basis?,,Yes/No,,,,65,Yes,
67,Social,Child labor,Employee(s) Under 18 in Apprenticeship,Are your employees under the age of 18 exclusively apprentices within the meaning of the locally applicable laws?,,Yes/No,,,,65,Yes,
68,Social,Child labor,Worst Forms of Child Labor,Have there been any worst forms of child labor in your company in the last 5 years?,,Yes/No,,,,65,Yes,
69,Social,Child labor,Worst Forms of Child Labor Prohibition,"Is the prohibition of the worst forms of child labor ensured in your company? These include: all forms of slavery or practices similar to slavery; the use, procuring or offering of a child for prostitution, the production of pornography or pornographic performances; the use, procuring or offering of a child for illicit activities, in particular for the production or trafficking of drugs; work which, by its nature or the circumstances in which it is performed, is likely to be harmful to the health, safety, or morals of children",,Yes/No,,,,67,Yes,
70,Social,Child labor,Worst Forms of Child Labor Forms,Which of these worst forms of child labor are not prevented?,,String,,,,67,Yes,
71,Social,Child labor,Measures for  Prevention of Employment Under Local Minimum Age ,Does your company take measures to prevent the employment of children under the local minimum age?,,Yes/No,,,,,,
